Encryption alg, Msg size, Key size, real, user, sys
des-ede3-ofb, 1K, 1b, 0.00, 0.00, 0.00
des-ofb, 1K, 1b, 0.00, 0.00, 0.00
des3, 1K, 1b, 0.00, 0.00, 0.00
desx, 1K, 1b, 0.00, 0.00, 0.00
rc2, 1K, 1b, 0.00, 0.00, 0.00
rc2-40-cbc, 1K, 1b, 0.00, 0.00, 0.00
rc2-64-cbc, 1K, 1b, 0.00, 0.00, 0.00
rc2-cbc, 1K, 1b, 0.00, 0.00, 0.00
rc2-cfb, 1K, 1b, 0.00, 0.00, 0.00
rc2-ecb, 1K, 1b, 0.00, 0.00, 0.00
rc2-ofb, 1K, 1b, 0.00, 0.00, 0.00
rc4, 1K, 1b, 0.00, 0.00, 0.00
rc4-40, 1K, 1b, 0.00, 0.00, 0.00
seed, 1K, 1b, 0.00, 0.00, 0.00
seed-cbc, 1K, 1b, 0.00, 0.00, 0.00
seed-cfb, 1K, 1b, 0.00, 0.00, 0.00
seed-ecb, 1K, 1b, 0.00, 0.00, 0.00
seed-ofb, 1K, 1b, 0.00, 0.00, 0.00
sm4-cbc, 1K, 1b, 0.00, 0.00, 0.00
sm4-cfb, 1K, 1b, 0.00, 0.00, 0.00
sm4-ctr, 1K, 1b, 0.00, 0.00, 0.00
sm4-ecb, 1K, 1b, 0.00, 0.00, 0.00
sm4-ofb, 1K, 1b, 0.00, 0.00, 0.00
aes-128-cbc, 1K, 1K, 0.00, 0.00, 0.00
aes-128-ecb, 1K, 1K, 0.00, 0.00, 0.00
aes-192-cbc, 1K, 1K, 0.00, 0.00, 0.00
aes-192-ecb, 1K, 1K, 0.00, 0.00, 0.00
aes-256-cbc, 1K, 1K, 0.00, 0.00, 0.00
aes-256-ecb, 1K, 1K, 0.00, 0.00, 0.00
aria-128-cbc, 1K, 1K, 0.00, 0.00, 0.00
aria-128-cfb, 1K, 1K, 0.00, 0.00, 0.00
aria-128-cfb1, 1K, 1K, 0.00, 0.00, 0.00
aria-128-cfb8, 1K, 1K, 0.00, 0.00, 0.00
aria-128-ctr, 1K, 1K, 0.00, 0.00, 0.00
aria-128-ecb, 1K, 1K, 0.00, 0.00, 0.00
aria-128-ofb, 1K, 1K, 0.00, 0.00, 0.00
aria-192-cbc, 1K, 1K, 0.00, 0.00, 0.00
aria-192-cfb, 1K, 1K, 0.00, 0.00, 0.00
aria-192-cfb1, 1K, 1K, 0.00, 0.00, 0.00
aria-192-cfb8, 1K, 1K, 0.00, 0.00, 0.00
aria-192-ctr, 1K, 1K, 0.00, 0.00, 0.00
aria-192-ecb, 1K, 1K, 0.00, 0.00, 0.00
aria-192-ofb, 1K, 1K, 0.00, 0.00, 0.00
aria-256-cbc, 1K, 1K, 0.00, 0.00, 0.00
aria-256-cfb, 1K, 1K, 0.00, 0.00, 0.00
aria-256-cfb1, 1K, 1K, 0.00, 0.00, 0.00
aria-256-cfb8, 1K, 1K, 0.00, 0.00, 0.00
aria-256-ctr, 1K, 1K, 0.00, 0.00, 0.00
aria-256-ecb, 1K, 1K, 0.00, 0.00, 0.00
aria-256-ofb, 1K, 1K, 0.00, 0.00, 0.00
base64, 1K, 1K, 0.00, 0.00, 0.00
bf, 1K, 1K, 0.00, 0.00, 0.00
bf-cbc, 1K, 1K, 0.00, 0.00, 0.00
bf-cfb, 1K, 1K, 0.00, 0.00, 0.00
bf-ecb, 1K, 1K, 0.00, 0.00, 0.00
bf-ofb, 1K, 1K, 0.00, 0.00, 0.00
camellia-128-cbc, 1K, 1K, 0.00, 0.00, 0.00
camellia-128-ecb, 1K, 1K, 0.00, 0.00, 0.00
camellia-192-cbc, 1K, 1K, 0.00, 0.00, 0.00
camellia-192-ecb, 1K, 1K, 0.00, 0.00, 0.00
camellia-256-cbc, 1K, 1K, 0.00, 0.00, 0.00
camellia-256-ecb, 1K, 1K, 0.00, 0.00, 0.00
cast, 1K, 1K, 0.00, 0.00, 0.00
cast-cbc, 1K, 1K, 0.00, 0.00, 0.00
cast5-cbc, 1K, 1K, 0.00, 0.00, 0.00
cast5-cfb, 1K, 1K, 0.00, 0.00, 0.00
cast5-ecb, 1K, 1K, 0.00, 0.00, 0.00
cast5-ofb, 1K, 1K, 0.00, 0.00, 0.00
des, 1K, 1K, 0.00, 0.00, 0.00
des-cbc, 1K, 1K, 0.00, 0.00, 0.00
des-cfb, 1K, 1K, 0.00, 0.00, 0.00
des-ecb, 1K, 1K, 0.00, 0.00, 0.00
des-ede, 1K, 1K, 0.00, 0.00, 0.00
des-ede-cbc, 1K, 1K, 0.00, 0.00, 0.00
des-ede-cfb, 1K, 1K, 0.00, 0.00, 0.00
des-ede-ofb, 1K, 1K, 0.00, 0.00, 0.00
des-ede3, 1K, 1K, 0.00, 0.00, 0.00
des-ede3-cbc, 1K, 1K, 0.00, 0.00, 0.00
des-ede3-cfb, 1K, 1K, 0.00, 0.00, 0.00
des-ede3-ofb, 1K, 1K, 0.00, 0.00, 0.00
des-ofb, 1K, 1K, 0.00, 0.00, 0.00
des3, 1K, 1K, 0.00, 0.00, 0.00
desx, 1K, 1K, 0.00, 0.00, 0.00
rc2, 1K, 1K, 0.00, 0.00, 0.00
rc2-40-cbc, 1K, 1K, 0.00, 0.00, 0.00
rc2-64-cbc, 1K, 1K, 0.00, 0.00, 0.00
rc2-cbc, 1K, 1K, 0.00, 0.00, 0.00
rc2-cfb, 1K, 1K, 0.00, 0.00, 0.00
rc2-ecb, 1K, 1K, 0.00, 0.00, 0.00
rc2-ofb, 1K, 1K, 0.00, 0.00, 0.00
rc4, 1K, 1K, 0.00, 0.00, 0.00
rc4-40, 1K, 1K, 0.00, 0.00, 0.00
seed, 1K, 1K, 0.00, 0.00, 0.00
seed-cbc, 1K, 1K, 0.00, 0.00, 0.00
seed-cfb, 1K, 1K, 0.00, 0.00, 0.00
seed-ecb, 1K, 1K, 0.00, 0.00, 0.00
seed-ofb, 1K, 1K, 0.00, 0.00, 0.00
sm4-cbc, 1K, 1K, 0.00, 0.00, 0.00
sm4-cfb, 1K, 1K, 0.00, 0.00, 0.00
sm4-ctr, 1K, 1K, 0.00, 0.00, 0.00
sm4-ecb, 1K, 1K, 0.00, 0.00, 0.00
sm4-ofb, 1K, 1K, 0.00, 0.00, 0.00
aes-128-cbc, 1K, 1M, 0.00, 0.00, 0.00
aes-128-ecb, 1K, 1M, 0.00, 0.00, 0.00
aes-192-cbc, 1K, 1M, 0.00, 0.00, 0.00
aes-192-ecb, 1K, 1M, 0.00, 0.00, 0.00
aes-256-cbc, 1K, 1M, 0.00, 0.00, 0.00
aes-256-ecb, 1K, 1M, 0.00, 0.00, 0.00
aria-128-cbc, 1K, 1M, 0.00, 0.00, 0.00
aria-128-cfb, 1K, 1M, 0.00, 0.00, 0.00
aria-128-cfb1, 1K, 1M, 0.00, 0.00, 0.00
aria-128-cfb8, 1K, 1M, 0.00, 0.00, 0.00
aria-128-ctr, 1K, 1M, 0.00, 0.00, 0.00
aria-128-ecb, 1K, 1M, 0.00, 0.00, 0.00
aria-128-ofb, 1K, 1M, 0.00, 0.00, 0.00
aria-192-cbc, 1K, 1M, 0.00, 0.00, 0.00
aria-192-cfb, 1K, 1M, 0.00, 0.00, 0.00
aria-192-cfb1, 1K, 1M, 0.00, 0.00, 0.00
aria-192-cfb8, 1K, 1M, 0.00, 0.00, 0.00
aria-192-ctr, 1K, 1M, 0.00, 0.00, 0.00
aria-192-ecb, 1K, 1M, 0.00, 0.00, 0.00
aria-192-ofb, 1K, 1M, 0.00, 0.00, 0.00
aria-256-cbc, 1K, 1M, 0.00, 0.00, 0.00
aria-256-cfb, 1K, 1M, 0.00, 0.00, 0.00
aria-256-cfb1, 1K, 1M, 0.00, 0.00, 0.00
aria-256-cfb8, 1K, 1M, 0.00, 0.00, 0.00
aria-256-ctr, 1K, 1M, 0.00, 0.00, 0.00
aria-256-ecb, 1K, 1M, 0.00, 0.00, 0.00
aria-256-ofb, 1K, 1M, 0.00, 0.00, 0.00
base64, 1K, 1M, 0.00, 0.00, 0.00
bf, 1K, 1M, 0.00, 0.00, 0.00
bf-cbc, 1K, 1M, 0.00, 0.00, 0.00
bf-cfb, 1K, 1M, 0.00, 0.00, 0.00
bf-ecb, 1K, 1M, 0.00, 0.00, 0.00
bf-ofb, 1K, 1M, 0.00, 0.00, 0.00
camellia-128-cbc, 1K, 1M, 0.00, 0.00, 0.00
camellia-128-ecb, 1K, 1M, 0.00, 0.00, 0.00
camellia-192-cbc, 1K, 1M, 0.00, 0.00, 0.00
camellia-192-ecb, 1K, 1M, 0.00, 0.00, 0.00
camellia-256-cbc, 1K, 1M, 0.00, 0.00, 0.00
camellia-256-ecb, 1K, 1M, 0.00, 0.00, 0.00
cast, 1K, 1M, 0.00, 0.00, 0.00
cast-cbc, 1K, 1M, 0.00, 0.00, 0.00
cast5-cbc, 1K, 1M, 0.00, 0.00, 0.00
cast5-cfb, 1K, 1M, 0.00, 0.00, 0.00
cast5-ecb, 1K, 1M, 0.00, 0.00, 0.00
cast5-ofb, 1K, 1M, 0.00, 0.00, 0.00
des, 1K, 1M, 0.00, 0.00, 0.00
des-cbc, 1K, 1M, 0.00, 0.00, 0.00
des-cfb, 1K, 1M, 0.00, 0.00, 0.00
des-ecb, 1K, 1M, 0.00, 0.00, 0.00
des-ede, 1K, 1M, 0.00, 0.00, 0.00
des-ede-cbc, 1K, 1M, 0.00, 0.00, 0.00
des-ede-cfb, 1K, 1M, 0.00, 0.00, 0.00
des-ede-ofb, 1K, 1M, 0.00, 0.00, 0.00
des-ede3, 1K, 1M, 0.00, 0.00, 0.00
des-ede3-cbc, 1K, 1M, 0.00, 0.00, 0.00
des-ede3-cfb, 1K, 1M, 0.00, 0.00, 0.00
des-ede3-ofb, 1K, 1M, 0.00, 0.00, 0.00
des-ofb, 1K, 1M, 0.00, 0.00, 0.00
des3, 1K, 1M, 0.00, 0.00, 0.00
desx, 1K, 1M, 0.00, 0.00, 0.00
rc2, 1K, 1M, 0.00, 0.00, 0.00
rc2-40-cbc, 1K, 1M, 0.00, 0.00, 0.00
rc2-64-cbc, 1K, 1M, 0.00, 0.00, 0.00
rc2-cbc, 1K, 1M, 0.00, 0.00, 0.00
rc2-cfb, 1K, 1M, 0.00, 0.00, 0.00
rc2-ecb, 1K, 1M, 0.00, 0.00, 0.00
rc2-ofb, 1K, 1M, 0.00, 0.00, 0.00
rc4, 1K, 1M, 0.00, 0.00, 0.00
rc4-40, 1K, 1M, 0.00, 0.00, 0.00
seed, 1K, 1M, 0.00, 0.00, 0.00
seed-cbc, 1K, 1M, 0.00, 0.00, 0.00
seed-cfb, 1K, 1M, 0.00, 0.00, 0.00
seed-ecb, 1K, 1M, 0.00, 0.00, 0.00
seed-ofb, 1K, 1M, 0.00, 0.00, 0.00
sm4-cbc, 1K, 1M, 0.00, 0.00, 0.00
sm4-cfb, 1K, 1M, 0.00, 0.00, 0.00
sm4-ctr, 1K, 1M, 0.00, 0.00, 0.00
sm4-ecb, 1K, 1M, 0.00, 0.00, 0.00
sm4-ofb, 1K, 1M, 0.00, 0.00, 0.00
aes-128-cbc, 1K, 10M, 0.00, 0.00, 0.00
aes-128-ecb, 1K, 10M, 0.00, 0.00, 0.00
aes-192-cbc, 1K, 10M, 0.00, 0.00, 0.00
aes-192-ecb, 1K, 10M, 0.00, 0.00, 0.00
aes-256-cbc, 1K, 10M, 0.00, 0.00, 0.00
aes-256-ecb, 1K, 10M, 0.00, 0.00, 0.00
aria-128-cbc, 1K, 10M, 0.00, 0.00, 0.00
aria-128-cfb, 1K, 10M, 0.00, 0.00, 0.00
aria-128-cfb1, 1K, 10M, 0.00, 0.00, 0.00
aria-128-cfb8, 1K, 10M, 0.00, 0.00, 0.00
aria-128-ctr, 1K, 10M, 0.00, 0.00, 0.00
aria-128-ecb, 1K, 10M, 0.00, 0.00, 0.00
aria-128-ofb, 1K, 10M, 0.00, 0.00, 0.00
aria-192-cbc, 1K, 10M, 0.00, 0.00, 0.00
aria-192-cfb, 1K, 10M, 0.00, 0.00, 0.00
aria-192-cfb1, 1K, 10M, 0.00, 0.00, 0.00
aria-192-cfb8, 1K, 10M, 0.00, 0.00, 0.00
aria-192-ctr, 1K, 10M, 0.00, 0.00, 0.00
aria-192-ecb, 1K, 10M, 0.00, 0.00, 0.00
aria-192-ofb, 1K, 10M, 0.00, 0.00, 0.00
aria-256-cbc, 1K, 10M, 0.00, 0.00, 0.00
aria-256-cfb, 1K, 10M, 0.00, 0.00, 0.00
aria-256-cfb1, 1K, 10M, 0.00, 0.00, 0.00
aria-256-cfb8, 1K, 10M, 0.00, 0.00, 0.00
aria-256-ctr, 1K, 10M, 0.00, 0.00, 0.00
aria-256-ecb, 1K, 10M, 0.00, 0.00, 0.00
aria-256-ofb, 1K, 10M, 0.00, 0.00, 0.00
base64, 1K, 10M, 0.00, 0.00, 0.00
bf, 1K, 10M, 0.00, 0.00, 0.00
bf-cbc, 1K, 10M, 0.00, 0.00, 0.00
bf-cfb, 1K, 10M, 0.00, 0.00, 0.00
bf-ecb, 1K, 10M, 0.00, 0.00, 0.00
bf-ofb, 1K, 10M, 0.00, 0.00, 0.00
camellia-128-cbc, 1K, 10M, 0.00, 0.00, 0.00
camellia-128-ecb, 1K, 10M, 0.00, 0.00, 0.00
camellia-192-cbc, 1K, 10M, 0.00, 0.00, 0.00
camellia-192-ecb, 1K, 10M, 0.00, 0.00, 0.00
camellia-256-cbc, 1K, 10M, 0.00, 0.00, 0.00
camellia-256-ecb, 1K, 10M, 0.00, 0.00, 0.00
cast, 1K, 10M, 0.00, 0.00, 0.00
cast-cbc, 1K, 10M, 0.00, 0.00, 0.00
cast5-cbc, 1K, 10M, 0.00, 0.00, 0.00
cast5-cfb, 1K, 10M, 0.00, 0.00, 0.00
cast5-ecb, 1K, 10M, 0.00, 0.00, 0.00
cast5-ofb, 1K, 10M, 0.00, 0.00, 0.00
des, 1K, 10M, 0.00, 0.00, 0.00
des-cbc, 1K, 10M, 0.00, 0.00, 0.00
des-cfb, 1K, 10M, 0.00, 0.00, 0.00
des-ecb, 1K, 10M, 0.00, 0.00, 0.00
des-ede, 1K, 10M, 0.00, 0.00, 0.00
des-ede-cbc, 1K, 10M, 0.00, 0.00, 0.00
des-ede-cfb, 1K, 10M, 0.00, 0.00, 0.00
des-ede-ofb, 1K, 10M, 0.00, 0.00, 0.00
des-ede3, 1K, 10M, 0.00, 0.00, 0.00
des-ede3-cbc, 1K, 10M, 0.00, 0.00, 0.00
des-ede3-cfb, 1K, 10M, 0.00, 0.00, 0.00
des-ede3-ofb, 1K, 10M, 0.00, 0.00, 0.00
des-ofb, 1K, 10M, 0.00, 0.00, 0.00
des3, 1K, 10M, 0.00, 0.00, 0.00
desx, 1K, 10M, 0.00, 0.00, 0.00
rc2, 1K, 10M, 0.00, 0.00, 0.00
rc2-40-cbc, 1K, 10M, 0.00, 0.00, 0.00
rc2-64-cbc, 1K, 10M, 0.00, 0.00, 0.00
rc2-cbc, 1K, 10M, 0.00, 0.00, 0.00
rc2-cfb, 1K, 10M, 0.00, 0.00, 0.00
rc2-ecb, 1K, 10M, 0.00, 0.00, 0.00
rc2-ofb, 1K, 10M, 0.00, 0.00, 0.00
rc4, 1K, 10M, 0.00, 0.00, 0.00
rc4-40, 1K, 10M, 0.00, 0.00, 0.00
seed, 1K, 10M, 0.00, 0.00, 0.00
seed-cbc, 1K, 10M, 0.00, 0.00, 0.00
seed-cfb, 1K, 10M, 0.00, 0.00, 0.00
seed-ecb, 1K, 10M, 0.00, 0.00, 0.00
seed-ofb, 1K, 10M, 0.00, 0.00, 0.00
sm4-cbc, 1K, 10M, 0.00, 0.00, 0.00
sm4-cfb, 1K, 10M, 0.00, 0.00, 0.00
sm4-ctr, 1K, 10M, 0.00, 0.00, 0.00
sm4-ecb, 1K, 10M, 0.00, 0.00, 0.00
sm4-ofb, 1K, 10M, 0.00, 0.00, 0.00
aes-128-cbc, 1K, 100M, 0.00, 0.00, 0.00
aes-128-ecb, 1K, 100M, 0.00, 0.00, 0.00
aes-192-cbc, 1K, 100M, 0.00, 0.00, 0.00
aes-192-ecb, 1K, 100M, 0.00, 0.00, 0.00
aes-256-cbc, 1K, 100M, 0.00, 0.00, 0.00
aes-256-ecb, 1K, 100M, 0.00, 0.00, 0.00
aria-128-cbc, 1K, 100M, 0.00, 0.00, 0.00
aria-128-cfb, 1K, 100M, 0.00, 0.00, 0.00
aria-128-cfb1, 1K, 100M, 0.00, 0.00, 0.00
aria-128-cfb8, 1K, 100M, 0.00, 0.00, 0.00
aria-128-ctr, 1K, 100M, 0.00, 0.00, 0.00
aria-128-ecb, 1K, 100M, 0.00, 0.00, 0.00
aria-128-ofb, 1K, 100M, 0.00, 0.00, 0.00
aria-192-cbc, 1K, 100M, 0.00, 0.00, 0.00
aria-192-cfb, 1K, 100M, 0.00, 0.00, 0.00
aria-192-cfb1, 1K, 100M, 0.00, 0.00, 0.00
aria-192-cfb8, 1K, 100M, 0.00, 0.00, 0.00
aria-192-ctr, 1K, 100M, 0.00, 0.00, 0.00
aria-192-ecb, 1K, 100M, 0.00, 0.00, 0.00
aria-192-ofb, 1K, 100M, 0.00, 0.00, 0.00
aria-256-cbc, 1K, 100M, 0.00, 0.00, 0.00
aria-256-cfb, 1K, 100M, 0.00, 0.00, 0.00
aria-256-cfb1, 1K, 100M, 0.00, 0.00, 0.00
aria-256-cfb8, 1K, 100M, 0.00, 0.00, 0.00
aria-256-ctr, 1K, 100M, 0.00, 0.00, 0.00
aria-256-ecb, 1K, 100M, 0.00, 0.00, 0.00
aria-256-ofb, 1K, 100M, 0.00, 0.00, 0.00
base64, 1K, 100M, 0.00, 0.00, 0.00
bf, 1K, 100M, 0.00, 0.00, 0.00
bf-cbc, 1K, 100M, 0.00, 0.00, 0.00
bf-cfb, 1K, 100M, 0.00, 0.00, 0.00
bf-ecb, 1K, 100M, 0.00, 0.00, 0.00
bf-ofb, 1K, 100M, 0.00, 0.00, 0.00
camellia-128-cbc, 1K, 100M, 0.00, 0.00, 0.00
camellia-128-ecb, 1K, 100M, 0.00, 0.00, 0.00
camellia-192-cbc, 1K, 100M, 0.00, 0.00, 0.00
camellia-192-ecb, 1K, 100M, 0.00, 0.00, 0.00
camellia-256-cbc, 1K, 100M, 0.00, 0.00, 0.00
camellia-256-ecb, 1K, 100M, 0.00, 0.00, 0.00
cast, 1K, 100M, 0.00, 0.00, 0.00
cast-cbc, 1K, 100M, 0.00, 0.00, 0.00
cast5-cbc, 1K, 100M, 0.00, 0.00, 0.00
cast5-cfb, 1K, 100M, 0.00, 0.00, 0.00
cast5-ecb, 1K, 100M, 0.00, 0.00, 0.00
cast5-ofb, 1K, 100M, 0.00, 0.00, 0.00
des, 1K, 100M, 0.00, 0.00, 0.00
des-cbc, 1K, 100M, 0.00, 0.00, 0.00
des-cfb, 1K, 100M, 0.00, 0.00, 0.00
des-ecb, 1K, 100M, 0.00, 0.00, 0.00
des-ede, 1K, 100M, 0.00, 0.00, 0.00
des-ede-cbc, 1K, 100M, 0.00, 0.00, 0.00
des-ede-cfb, 1K, 100M, 0.00, 0.00, 0.00
des-ede-ofb, 1K, 100M, 0.00, 0.00, 0.00
des-ede3, 1K, 100M, 0.00, 0.00, 0.00
des-ede3-cbc, 1K, 100M, 0.00, 0.00, 0.00
des-ede3-cfb, 1K, 100M, 0.00, 0.00, 0.00
des-ede3-ofb, 1K, 100M, 0.00, 0.00, 0.00
des-ofb, 1K, 100M, 0.00, 0.00, 0.00
des3, 1K, 100M, 0.00, 0.00, 0.00
desx, 1K, 100M, 0.00, 0.00, 0.00
rc2, 1K, 100M, 0.00, 0.00, 0.00
rc2-40-cbc, 1K, 100M, 0.00, 0.00, 0.00
rc2-64-cbc, 1K, 100M, 0.00, 0.00, 0.00
rc2-cbc, 1K, 100M, 0.00, 0.00, 0.00
rc2-cfb, 1K, 100M, 0.00, 0.00, 0.00
rc2-ecb, 1K, 100M, 0.00, 0.00, 0.00
rc2-ofb, 1K, 100M, 0.00, 0.00, 0.00
rc4, 1K, 100M, 0.00, 0.00, 0.00
rc4-40, 1K, 100M, 0.00, 0.00, 0.00
seed, 1K, 100M, 0.00, 0.00, 0.00
seed-cbc, 1K, 100M, 0.00, 0.00, 0.00
seed-cfb, 1K, 100M, 0.00, 0.00, 0.00
seed-ecb, 1K, 100M, 0.00, 0.00, 0.00
seed-ofb, 1K, 100M, 0.00, 0.00, 0.00
sm4-cbc, 1K, 100M, 0.00, 0.00, 0.00
sm4-cfb, 1K, 100M, 0.00, 0.00, 0.00
sm4-ctr, 1K, 100M, 0.00, 0.00, 0.00
sm4-ecb, 1K, 100M, 0.00, 0.00, 0.00
sm4-ofb, 1K, 100M, 0.00, 0.00, 0.00
aes-128-cbc, 1M, 1b, 0.00, 0.00, 0.00
aes-128-ecb, 1M, 1b, 0.00, 0.00, 0.00
aes-192-cbc, 1M, 1b, 0.00, 0.00, 0.00
aes-192-ecb, 1M, 1b, 0.00, 0.00, 0.00
aes-256-cbc, 1M, 1b, 0.00, 0.00, 0.00
aes-256-ecb, 1M, 1b, 0.00, 0.00, 0.00
aria-128-cbc, 1M, 1b, 0.01, 0.00, 0.00
aria-128-cfb, 1M, 1b, 0.01, 0.00, 0.00
aria-128-cfb1, 1M, 1b, 0.94, 0.93, 0.00
aria-128-cfb8, 1M, 1b, 0.11, 0.10, 0.00
aria-128-ctr, 1M, 1b, 0.01, 0.00, 0.00
aria-128-ecb, 1M, 1b, 0.01, 0.00, 0.00
aria-128-ofb, 1M, 1b, 0.01, 0.01, 0.00
aria-192-cbc, 1M, 1b, 0.01, 0.00, 0.00
aria-192-cfb, 1M, 1b, 0.01, 0.01, 0.00
aria-192-cfb1, 1M, 1b, 1.05, 1.03, 0.01
aria-192-cfb8, 1M, 1b, 0.12, 0.11, 0.00
aria-192-ctr, 1M, 1b, 0.01, 0.01, 0.00
aria-192-ecb, 1M, 1b, 0.01, 0.00, 0.00
aria-192-ofb, 1M, 1b, 0.01, 0.01, 0.00
aria-256-cbc, 1M, 1b, 0.01, 0.00, 0.00
aria-256-cfb, 1M, 1b, 0.01, 0.00, 0.00
aria-256-cfb1, 1M, 1b, 1.14, 1.12, 0.00
aria-256-cfb8, 1M, 1b, 0.13, 0.13, 0.00
aria-256-ctr, 1M, 1b, 0.01, 0.00, 0.00
aria-256-ecb, 1M, 1b, 0.02, 0.01, 0.00
aria-256-ofb, 1M, 1b, 0.01, 0.01, 0.00
base64, 1M, 1b, 0.00, 0.00, 0.00
bf, 1M, 1b, 0.01, 0.01, 0.00
bf-cbc, 1M, 1b, 0.01, 0.01, 0.00
bf-cfb, 1M, 1b, 0.01, 0.01, 0.00
bf-ecb, 1M, 1b, 0.00, 0.00, 0.00
bf-ofb, 1M, 1b, 0.00, 0.00, 0.00
camellia-128-cbc, 1M, 1b, 0.01, 0.00, 0.00
camellia-128-ecb, 1M, 1b, 0.00, 0.00, 0.00
camellia-192-cbc, 1M, 1b, 0.01, 0.00, 0.00
camellia-192-ecb, 1M, 1b, 0.00, 0.00, 0.00
camellia-256-cbc, 1M, 1b, 0.00, 0.00, 0.00
camellia-256-ecb, 1M, 1b, 0.01, 0.00, 0.00
cast, 1M, 1b, 0.01, 0.01, 0.00
cast-cbc, 1M, 1b, 0.01, 0.01, 0.00
cast5-cbc, 1M, 1b, 0.01, 0.00, 0.00
cast5-cfb, 1M, 1b, 0.01, 0.01, 0.00
cast5-ecb, 1M, 1b, 0.01, 0.01, 0.00
cast5-ofb, 1M, 1b, 0.01, 0.01, 0.00
des, 1M, 1b, 0.01, 0.01, 0.00
des-cbc, 1M, 1b, 0.01, 0.01, 0.00
des-cfb, 1M, 1b, 0.01, 0.01, 0.00
des-ecb, 1M, 1b, 0.01, 0.01, 0.00
des-ede, 1M, 1b, 0.03, 0.02, 0.00
des-ede-cbc, 1M, 1b, 0.03, 0.03, 0.00
des-ede-cfb, 1M, 1b, 0.04, 0.03, 0.00
des-ede-ofb, 1M, 1b, 0.04, 0.03, 0.00
des-ede3, 1M, 1b, 0.03, 0.03, 0.00
des-ede3-cbc, 1M, 1b, 0.03, 0.03, 0.00
des-ede3-cfb, 1M, 1b, 0.04, 0.03, 0.00
des-ede3-ofb, 1M, 1b, 0.03, 0.03, 0.00
des-ofb, 1M, 1b, 0.01, 0.01, 0.00
des3, 1M, 1b, 0.03, 0.02, 0.00
desx, 1M, 1b, 0.01, 0.01, 0.00
rc2, 1M, 1b, 0.02, 0.01, 0.00
rc2-40-cbc, 1M, 1b, 0.02, 0.01, 0.00
rc2-64-cbc, 1M, 1b, 0.02, 0.02, 0.00
rc2-cbc, 1M, 1b, 0.02, 0.02, 0.00
rc2-cfb, 1M, 1b, 0.02, 0.02, 0.00
rc2-ecb, 1M, 1b, 0.02, 0.01, 0.00
rc2-ofb, 1M, 1b, 0.02, 0.01, 0.00
rc4, 1M, 1b, 0.01, 0.00, 0.00
rc4-40, 1M, 1b, 0.00, 0.00, 0.00
seed, 1M, 1b, 0.01, 0.01, 0.00
seed-cbc, 1M, 1b, 0.01, 0.01, 0.00
seed-cfb, 1M, 1b, 0.01, 0.00, 0.00
seed-ecb, 1M, 1b, 0.01, 0.01, 0.00
seed-ofb, 1M, 1b, 0.01, 0.00, 0.00
sm4-cbc, 1M, 1b, 0.01, 0.01, 0.00
sm4-cfb, 1M, 1b, 0.01, 0.01, 0.00
sm4-ctr, 1M, 1b, 0.01, 0.01, 0.00
sm4-ecb, 1M, 1b, 0.01, 0.01, 0.00
sm4-ofb, 1M, 1b, 0.01, 0.01, 0.00
aes-128-cbc, 1M, 1K, 0.00, 0.00, 0.00
aes-128-ecb, 1M, 1K, 0.00, 0.00, 0.00
aes-192-cbc, 1M, 1K, 0.00, 0.00, 0.00
aes-192-ecb, 1M, 1K, 0.00, 0.00, 0.00
aes-256-cbc, 1M, 1K, 0.00, 0.00, 0.00
aes-256-ecb, 1M, 1K, 0.02, 0.00, 0.00
aria-128-cbc, 1M, 1K, 0.00, 0.00, 0.00
aria-128-cfb, 1M, 1K, 0.00, 0.00, 0.00
aria-128-cfb1, 1M, 1K, 0.88, 0.87, 0.00
aria-128-cfb8, 1M, 1K, 0.10, 0.10, 0.00
aria-128-ctr, 1M, 1K, 0.00, 0.00, 0.00
aria-128-ecb, 1M, 1K, 0.01, 0.01, 0.00
aria-128-ofb, 1M, 1K, 0.01, 0.00, 0.00
aria-192-cbc, 1M, 1K, 0.01, 0.00, 0.00
aria-192-cfb, 1M, 1K, 0.01, 0.01, 0.00
aria-192-cfb1, 1M, 1K, 1.05, 1.00, 0.00
aria-192-cfb8, 1M, 1K, 0.12, 0.11, 0.00
aria-192-ctr, 1M, 1K, 0.01, 0.01, 0.00
aria-192-ecb, 1M, 1K, 0.01, 0.01, 0.00
aria-192-ofb, 1M, 1K, 0.01, 0.01, 0.00
aria-256-cbc, 1M, 1K, 0.01, 0.01, 0.00
aria-256-cfb, 1M, 1K, 0.01, 0.00, 0.00
aria-256-cfb1, 1M, 1K, 1.11, 1.09, 0.01
aria-256-cfb8, 1M, 1K, 0.13, 0.13, 0.00
aria-256-ctr, 1M, 1K, 0.01, 0.00, 0.00
aria-256-ecb, 1M, 1K, 0.01, 0.00, 0.00
aria-256-ofb, 1M, 1K, 0.01, 0.01, 0.00
base64, 1M, 1K, 0.00, 0.00, 0.00
bf, 1M, 1K, 0.01, 0.00, 0.00
bf-cbc, 1M, 1K, 0.01, 0.01, 0.00
bf-cfb, 1M, 1K, 0.01, 0.01, 0.00
bf-ecb, 1M, 1K, 0.01, 0.00, 0.00
bf-ofb, 1M, 1K, 0.00, 0.00, 0.00
camellia-128-cbc, 1M, 1K, 0.00, 0.00, 0.00
